"Lugar_del_Accidente";"N_de_Muertos";"PromEdad";"PorcentH";"PorcenM";"Porcent2017";"Porcent2018";"Porcent2019";"Etiqueta"
"El Oro - Arenillas - Palmales";3;32;0,67;0,33;0,33;0,33;0,33;"Operativos Regulares frecuentes"
"El Oro - Arenillas - Carcabon";1;64;1;0;0;1;0;"Operativos Regulares frecuentes"
"El Oro - Atahualpa - Paccha";2;27;1;0;0;1;0;"Operativos Regulares frecuentes"
"El Oro - Balsas - Balsas";19;43;0,89;0,11;0,16;0,58;0,26;"Operativos Regulares frecuentes"
"El Oro - Chilla - Chilla Cabezera Cantonal";2;24;0,5;0,5;1;0;0;"Operativos Regulares frecuentes"
"El Oro - El Guabo - El Guabo";47;35;0,89;0,11;0,28;0,34;0,38;"Operativos Regulares frecuentes"
"El Oro - El Guabo - Barbones (Sucre)";8;23;0,88;0,12;0,38;0,25;0,38;"Operativos Regulares frecuentes"
"El Oro - El Guabo - La Ibera";2;44;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"El Oro - El Guabo - Rio Bonito";6;25;0,83;0,17;0,17;0,33;0,5;"Operativos Regulares frecuentes"
"El Oro - Huaquillas - Hualtaco";1;56;0;1;0;1;0;"Operativos Regulares frecuentes"
"El Oro - Huaquillas - Union Lojana";3;66;0,67;0,33;0;0;1;"Operativos Regulares frecuentes"
"El Oro - Huaquillas - Huaquillas";17;44;0,59;0,41;0,24;0,41;0,35;"Operativos Regulares frecuentes"
"El Oro - Marcabeli - Marcabeli";2;26;0,5;0,5;0;0,5;0,5;"Operativos Regulares frecuentes"
"El Oro - Pasaje - Loma De Franco";1;28;1;0;0;1;0;"Operativos Regulares frecuentes"
"El Oro - Pasaje - Ochoa Leon (Matriz)";2;72;0,5;0,5;1;0;0;"Operativos Regulares frecuentes"
"El Oro - Pasaje - Tres Cerritos";2;46;1;0;1;0;0;"Operativos Regulares frecuentes"
"El Oro - Pasaje - Pasaje";34;48;0,88;0,12;0,41;0,32;0,24;"Operativos Regulares frecuentes"
"El Oro - Pasaje - Buenavista";6;22;1;0;0,5;0,17;0,33;"Operativos Regulares frecuentes"
"El Oro - Pasaje - La Peana";2;30;0,5;0,5;0,5;0;0,5;"Operativos Regulares frecuentes"
"El Oro - Pasaje - Uzhcurrumi";1;39;1;0;0;1;0;"Operativos Regulares frecuentes"
"El Oro - Pinas - La Matriz";1;52;1;0;0;0;1;"Operativos Regulares frecuentes"
"El Oro - Pinas - La Susaya";1;65;1;0;0;1;0;"Operativos Regulares frecuentes"
"El Oro - Pinas - Pinas";13;42;0,92;0,08;0,08;0,54;0,38;"Operativos Regulares frecuentes"
"El Oro - Pinas - Saracay";6;35;0,67;0,33;0;0,33;0,67;"Operativos Regulares frecuentes"
"El Oro - Portovelo - Portovelo";4;42;1;0;0,25;0,5;0,25;"Operativos Regulares frecuentes"
"El Oro - Santa Rosa - Santa Rosa";2;30;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"El Oro - Santa Rosa - Jumon (Satelite)";1;64;1;0;1;0;0;"Operativos Regulares frecuentes"
"El Oro - Santa Rosa - Nuevo Santa Rosa";1;25;1;0;0;1;0;"Operativos Regulares frecuentes"
"El Oro - Santa Rosa - Santa Rosa";27;34;0,74;0,26;0,41;0,3;0,3;"Operativos Regulares frecuentes"
"El Oro - Santa Rosa - La avanzada";1;36;1;0;1;0;0;"Operativos Regulares frecuentes"
"El Oro - Santa Rosa - Victoria";2;40;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"El Oro - Santa Rosa - Bellamaria";1;24;0;1;0;0;1;"Operativos Regulares frecuentes"
"El Oro - Zaruma - Zaruma";3;40;1;0;0,67;0,33;0;"Operativos Regulares frecuentes"
"El Oro - Zaruma - Guanazan";1;32;1;0;0;0;0;"Operativos Regulares frecuentes"
"El Oro - Zaruma - Huertas";2;21;1;0;0;1;0;"Operativos Regulares frecuentes"
"El Oro - Las Lajas - La Victoria Cabezera Cantonal";1;24;1;0;0;0;1;"Operativos Regulares frecuentes"
"Esmeraldas - Esmeraldas - Bartolome Ruiz (Cesar Franco Carrion)";1;56;0;1;1;0;0;"Operativos Regulares frecuentes"
"Esmeraldas - Esmeraldas - 5 De Agosto";14;41;0,93;0,07;0,5;0,21;0,29;"Operativos Regulares frecuentes"
"Esmeraldas - Esmeraldas - Esmeralda";35;41;0,8;0,2;0,37;0;0,63;"Operativos Regulares frecuentes"
"Esmeraldas - Esmeraldas - Luis Tello (Las Palmas)";5;39;0,8;0,2;0;0,4;0,6;"Operativos Regulares frecuentes"
"Esmeraldas - Esmeraldas - Simon Plata Torres";10;23;0,6;0,4;0,5;0,2;0,3;"Operativos Regulares frecuentes"
"Esmeraldas - Esmeraldas - Esmeraldas";26;38;0,77;0,23;0,15;0,85;0;"Operativos Regulares frecuentes"
"Esmeraldas - Esmeraldas - Camarones (Cab. En San Vicente)";6;37;0,83;0,17;0;0,33;0,67;"Operativos Regulares frecuentes"
"Esmeraldas - Esmeraldas - Majua";1;27;1;0;1;0;0;"Operativos Regulares frecuentes"
"Esmeraldas - Esmeraldas - San Mateo";6;30;0,83;0,17;0,17;0,33;0,5;"Operativos Regulares frecuentes"
"Esmeraldas - Esmeraldas - Tachina";4;31;0,75;0,25;0,5;0,25;0,25;"Operativos Regulares frecuentes"
"Esmeraldas - Esmeraldas - Vuelta Larga";14;29;0,86;0,14;0,07;0,36;0,57;"Operativos Regulares frecuentes"
"Esmeraldas - Eloy Alfaro - Valdez (Limones)";2;26;1;0;0,5;0,5;0;"Operativos Regulares frecuentes"
"Esmeraldas - Eloy Alfaro - Borbon";2;30;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"Esmeraldas - Eloy Alfaro - La Tola";2;17;1;0;0;0;1;"Operativos Regulares frecuentes"
"Esmeraldas - Eloy Alfaro - Luis Vargas Torres (Cab. En Playas de Oro)";2;39;0,5;0,5;1;0;0;"Operativos Regulares frecuentes"
"Esmeraldas - Eloy Alfaro - Maldonado";2;30;1;0;1;0;0;"Operativos Regulares frecuentes"
"Esmeraldas - Muisme - Muisme Cabecera Cantonal";2;19;1;0;0;0;1;"Operativos Regulares frecuentes"
"Esmeraldas - Muisme - Bolivar";2;45;1;0;1;0;0;"Operativos Regulares frecuentes"
"Esmeraldas - Muisme - San Francisco";1;66;0;1;0;0;1;"Operativos Regulares frecuentes"
"Esmeraldas - Muisme - San Gregorio";2;52;0,5;0,5;1;0;0;"Operativos Regulares frecuentes"
"Esmeraldas - Muisne - San Jose De Chamanga (Cab. En Cahamanga)";6;24;0,83;0,17;0,17;0,33;0,5;"Operativos Regulares frecuentes"
"Esmeraldas - Quininde - Rosa Zarate (Quininde)";43;30;0,81;0,19;0,33;0,4;0,26;"Operativos Regulares frecuentes"
"Esmeraldas - Quininde - Cube";2;40;1;0;1;0;0;"Operativos Regulares frecuentes"
"Esmeraldas - Quininde - Malimpia";1;24;1;0;0;1;0;"Operativos Regulares frecuentes"
"Esmeraldas - Quininde - Viche";10;40;0,8;0,2;0,1;0,9;0;"Operativos Regulares frecuentes"
"Esmeraldas - Quininde - La Union";29;36;0,76;0,24;0,34;0,31;0,24;"Operativos Regulares frecuentes"
"Esmeraldas - San Lorenzo - San Lorenzo";12;39;1;0;0,33;0,08;0,58;"Operativos Regulares frecuentes"
"Esmeraldas - San Lorenzo - Calderon";1;27;1;0;1;0;0;"Operativos Regulares frecuentes"
"Esmeraldas - San Lorenzo - Carondelet";1;75;1;0;0;0;1;"Operativos Regulares frecuentes"
"Esmeraldas - San Lorenzo - Tambillo";2;38;0,5;0,5;1;0;0;"Operativos Regulares frecuentes"
"Esmeraldas - Atacames - Atacames";8;40;1;0;0,62;0,25;0,12;"Operativos Regulares frecuentes"
"Esmeraldas - Atacames - La Union";1;8;1;0;1;0;0;"Operativos Regulares frecuentes"
"Esmeraldas - Atacames - Sua (Cab. En la Bocana)";1;45;1;0;0;0;1;"Operativos Regulares frecuentes"
"Esmeraldas - Atacames - Tonchigue";5;42;1;0;0,4;0,4;0,2;"Operativos Regulares frecuentes"
"Esmeraldas - Atacames - Tonsupa";6;50;0,83;0,17;0,17;0,67;0,17;"Operativos Regulares frecuentes"
"Esmeraldas - Rioverde - Rioverde";6;21;0,67;0,33;0,5;0,5;0;"Operativos Regulares frecuentes"
"Esmeraldas - Rioverde - Chontaduro";1;17;1;0;0;1;0;"Operativos Regulares frecuentes"
"Esmeraldas - Rioverde - Lagarto";2;20;1;0;0,5;0,5;0;"Operativos Regulares frecuentes"
"Esmeraldas - Rioverde - Montalvo (Cab En Horqueta)";4;48;1;0;0;0,25;0,75;"Operativos Regulares frecuentes"
"Esmeraldas - Rioverde - Rocafuerte";2;43;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Guayas - Guayaquil - Ayacucho";32;17;0,62;0,38;0,41;0,44;0,16;"Operativo de Transito Constante"
"Guayas - Guayaquil - Carbo (Concepcion)";82;41;0,91;0,09;0,32;0,2;0,48;"Operativos de Transito SemiConstantes"
"Guayas - Guayaquil - Febres Cordero";275;45;0,78;0,17;0,24;0,36;0,36;"Operativo de Transito Constante"
"Guayas - Guayaquil - Garcia Moreno";1;28;1;0;0;0;1;"Operativos Regulares frecuentes"
"Guayas - Guayaquil - Letamendi";7;33;1;0;0,29;0,43;0,29;"Operativos Regulares frecuentes"
"Guayas - Guayaquil - Olmedo (San Alejo)";2;44;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Guayas - Guayaquil - Rocafuerte";1;29;1;0;0;0;1;"Operativos Regulares frecuentes"
"Guayas - Guayaquil - Sucre";25;46;0,96;0,04;0,16;0,52;0,32;"Operativos Regulares frecuentes"
"Guayas - Guayaquil - Tarqui";429;41;0,83;0,17;0,34;0,34;0,31;"Operativo de Transito Constante"
"Guayas - Guayaquil - Urdaneta";2;50;1;0;0,5;0;0;"Operativos Regulares frecuentes"
"Guayas - Guayaquil - Ximena";255;44;0,83;0,17;0,27;0,44;0,29;"Operativo de Transito Constante"
"Guayas - Guayaquil - Pascuales";12;36;0,67;0,33;0,17;0;0,83;"Operativos Regulares frecuentes"
"Guayas - Guayaquil - Guayaquil";126;39;0,79;0,21;0,33;0,37;0,3;"Operativo de Transito Constante"
"Guayas - Guayaquil - Juan Gomez Rendon (Progreso)";4;36;1;0;0,25;0,75;0;"Operativos Regulares frecuentes"
"Guayas - Guayaquil - Morro";2;34;1;0;0,5;0,5;0;"Operativos Regulares frecuentes"
"Guayas - Guayaquil - Pascuales";6;46;0,67;0,33;0;1;0;"Operativos Regulares frecuentes"
"Guayas - Guayaquil - Posorja";4;29;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Guayas - Guayaquil - Puna";1;26;1;0;0;0;1;"Operativos Regulares frecuentes"
"Guayas - Guayaquil - Tenguel";6;41;0,83;0,17;0,67;0;0,33;"Operativos Regulares frecuentes"
"Guayas - Alfredo Baquerizo Moreno - Alfredo Baquerizo Moreno (Jujan)";31;32;0,77;0,23;0,23;0,42;0,35;"Operativos Regulares frecuentes"
"Guayas - Balao - Balao";39;32;0,95;0,05;0,28;0,33;0,36;"Operativos Regulares frecuentes"
"Guayas - Balzar - Balzar";48;34;0,92;0,08;0,35;0,33;0,31;"Operativos Regulares frecuentes"
"Guayas - Colimes - Colimes";12;31;0,83;0,17;0,08;0,67;0,17;"Operativos Regulares frecuentes"
"Guayas - Daule - Daule";49;39;0,86;0,14;0,24;0,37;0,39;"Operativos Regulares frecuentes"
"Guayas - Daule - La Aurora (Satelite)";11;35;0,82;0,18;0,45;0,45;0,09;"Operativos Regulares frecuentes"
"Guayas - Daule - Banife";3;46;1;0;0;0,33;0,67;"Operativos Regulares frecuentes"
"Guayas - Daule - Emiliano Caicedo Marcos";1;63;1;0;0;1;0;"Operativos Regulares frecuentes"
"Guayas - Daule - Magro";1;46;1;0;1;0;0;"Operativos Regulares frecuentes"
"Guayas - Daule - Padre Juan Bautista Aguirre";1;22;1;0;0;0;1;"Operativos Regulares frecuentes"
"Guayas - Daule - Daule Cabecera Cantonal";7;45;1;0;0,43;0;0,43;"Operativos Regulares frecuentes"
"Guayas - Daule - Juan Bautista Aguirre (Los Tintos)";8;44;1;0;0,12;0,62;0,25;"Operativos Regulares frecuentes"
"Guayas - Daule - Laurel";2;60;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"Guayas - Daule - Limonal";10;40;0,8;0,2;0,2;0,3;0,5;"Operativos Regulares frecuentes"
"Guayas - Daule - Los Lojas (Enrique Baquerizo Moreno)";10;35;1;0;0,1;0,4;0,5;"Operativos Regulares frecuentes"
"Guayas - Duran - Eloy Alfaro (Duran)";44;36;0,82;0,18;0,27;0,45;0,27;"Operativos Regulares frecuentes"
"Guayas - Duran - El Recreo";5;28;0,8;0,2;0,2;0,2;0,6;"Operativos Regulares frecuentes"
"Guayas - Duran - Eloy Alfaro(Duran) Cabecera Cantonal";26;33;0,92;0,08;0,46;0;0,54;"Operativos Regulares frecuentes"
"Guayas - Empalme - Velasco Ibarra (Cab. El Empalme)";36;38;0,92;0,08;0,42;0,33;0,25;"Operativos Regulares frecuentes"
"Guayas - Empalme - Guayas (Pueblo Nuevo)";2;19;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Guayas - Empalme - El Rosario";2;20;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Guayas - El Triunfo - El Triunfo";71;41;0,82;0,18;0,27;0,35;0,38;"Operativos de Transito SemiConstantes"
"Guayas - Milagro - Milagro";84;40;0,92;0,08;0,26;0,32;0,4;"Operativos de Transito SemiConstantes"
"Guayas - Milagro - Mariscal Sucre (Huaques)";2;44;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"Guayas - Milagro - Roberto Astudillo (Cab. En Sucre de Venecia)";5;32;0,6;0,4;0,8;0;0,2;"Operativos Regulares frecuentes"
"Guayas - Naranjal - Naranjal";50;43;0,9;0,1;0,32;0,34;0,28;"Operativos Regulares frecuentes"
"Guayas - Naranjal - Jesus Maria";14;31;0,79;0,21;0,14;0,5;0,36;"Operativos Regulares frecuentes"
"Guayas - Naranjal - San Carlos";11;41;0,64;0,36;0,09;0,64;0,27;"Operativos Regulares frecuentes"
"Guayas - Naranjal - Santa Rosa De Flandes";15;37;0,8;0,2;0,2;0,33;0,47;"Operativos Regulares frecuentes"
"Guayas - Naranjal - Taura";21;38;0,9;0,1;0,29;0,33;0,38;"Operativos Regulares frecuentes"
"Guayas - Naranjito - Naranjito";30;33;0,93;0,07;0,33;0,33;0,33;"Operativos Regulares frecuentes"
"Guayas - Palestina - Palestina";9;38;0,89;0,11;0,22;0,11;0,67;"Operativos Regulares frecuentes"
"Guayas - Pedro Carbo - Pedro Carbo";16;40;0,75;0,25;0,19;0,69;0,12;"Operativos Regulares frecuentes"
"Guayas - Pedro Carbo - Valle de la Virgen";3;22;1;0;0;0;1;"Operativos Regulares frecuentes"
"Guayas - Pedro Carbo - Sabanilla";8;28;1;0;0,38;0,25;0,38;"Operativos Regulares frecuentes"
"Guayas - Samborondon - Samborondon";3;21;0,33;0,67;0,33;0;0,67;"Operativos Regulares frecuentes"
"Guayas - Samborondon - La Puntilla (Satelite)";11;37;0,91;0,09;0,18;0,27;0,55;"Operativos Regulares frecuentes"
"Guayas - Samborondon - Samborondon Cabecera Cantonal";1;76;1;0;0;0;1;"Operativos Regulares frecuentes"
"Guayas - Samborondon - Tarifa";16;38;0,81;0,19;0,38;0,31;0,31;"Operativos Regulares frecuentes"
"Guayas - Santa Lucia - Santa Lucia";28;36;0,89;0,11;0,29;0,32;0,39;"Operativos Regulares frecuentes"
"Guayas - Salitre - El Salitre (Las Ramas)";7;33;1;0;0,14;0,43;0,43;"Operativos Regulares frecuentes"
"Guayas - Salitre - General Vernaza (Dos Esteros)";4;40;1;0;0,25;0,5;0,25;"Operativos Regulares frecuentes"
"Guayas - Salitre - La Victoria (Nauza)";2;30;1;0;0;1;0;"Operativos Regulares frecuentes"
"Guayas - Salitre - Junquillal";3;28;0,67;0,33;0;0;1;"Operativos Regulares frecuentes"
"Guayas - San Jacinto De Yaguachi - San Jacinto De Yaguachi";72;34;0,74;0,26;0,47;0,22;0,31;"Operativos de Transito SemiConstantes"
"Guayas - San Jacinto De Yaguachi - Gral. Pedro J. Montero (Boliche)";5;36;0,6;0,4;0,4;0,4;0,2;"Operativos Regulares frecuentes"
"Guayas - San Jacinto de Yaguachi - Yaguachi  Viejo (Cone)";2;17;1;0;1;0;0;"Operativos Regulares frecuentes"
"Guayas - San Jacinto De Yaguachi - Virgen De Fatima";20;41;0,9;0,1;0,8;0,05;0,15;"Operativos Regulares frecuentes"
"Guayas - Playas - General Villamil (Playas)";33;39;0,82;0,18;0,36;0,27;0,36;"Operativos Regulares frecuentes"
"Guayas - Simon Bolivar - Simon Bolivar";9;24;1;0;0;0,78;0,22;"Operativos Regulares frecuentes"
"Guayas - Simon Bolivar - Coronel Lorenzo de Garaicoa (Pedregal)";4;36;0,75;0,25;0,25;0;0,75;"Operativos Regulares frecuentes"
"Guayas - Crnel. Marcelino Mariduena - Crnel. Marcelino Mariduena (San Carlos)";8;28;0,88;0,12;0,5;0,25;0,25;"Operativos Regulares frecuentes"
"Guayas - Lomas De Sargentillo - Lomas De Sargentillo";9;31;0,89;0,11;0,44;0;0,56;"Operativos Regulares frecuentes"
"Guayas - Nobol - Narcisa De Jesus (Nobol)";17;44;0,94;0,06;0,41;0,24;0,35;"Operativos Regulares frecuentes"
"Guayas - Gnral. Antonio Elizalde - Gral. Antonio Elizalde (Bucay)";4;27;1;0;0;0,75;0,25;"Operativos Regulares frecuentes"
"Guayas - Isidro Ayora - Isidro Ayora";11;35;0,82;0,18;0,36;0,36;0,27;"Operativos Regulares frecuentes"
"Imbabura - Ibarra - Caranqui";9;39;0,67;0,33;0,33;0,22;0,44;"Operativos Regulares frecuentes"
"Imbabura - Ibarra - Guayaquil de Alpachaca";2;55;0,5;0,5;0;0;1;"Operativos Regulares frecuentes"
"Imbabura - Ibarra - Sagrario";27;39;0,81;0,19;0,26;0,26;0,48;"Operativos Regulares frecuentes"
"Imbabura - Ibarra - San Francisco";12;32;1;0;0,58;0,25;0,17;"Operativos Regulares frecuentes"
"Imbabura - Ibarra - La Dolorosa Del Prionato";6;51;1;0;0,67;0,17;0,17;"Operativos Regulares frecuentes"
"Imbabura - Ibarra - San Miguel De Ibarra";10;39;0,9;0,1;0,5;0,1;0,4;"Operativos Regulares frecuentes"
"Imbabura - Ibarra - Ambuqui";8;42;1;0;0,38;0,25;0,38;"Operativos Regulares frecuentes"
"Imbabura - Ibarra - Carolina";8;39;0,75;0,25;0,25;0,25;0,5;"Operativos Regulares frecuentes"
"Imbabura - Ibarra - La Esperanza";4;27;1;0;0,5;0,25;0,25;"Operativos Regulares frecuentes"
"Imbabura - Ibarra - Lita";2;37;1;0;0,5;0,5;0;"Operativos Regulares frecuentes"
"Imbabura - Ibarra - Salinas";8;33;1;0;0,12;0,25;0,62;"Operativos Regulares frecuentes"
"Imbabura - Ibarra - San Antonio";11;41;0,91;0,09;0,27;0,27;0,45;"Operativos Regulares frecuentes"
"Imbabura - Antonio Ante - Andrade Marin (Lourdes)";3;48;0,67;0,33;0,67;0;0,33;"Operativos Regulares frecuentes"
"Imbabura - Antonio Ante - Atuntaqui";2;86;0,5;0,5;0,5;0;0,5;"Operativos Regulares frecuentes"
"Imbabura - Antonio Ante - Atuntaqui";10;49;0,9;0,1;0,3;0,4;0,3;"Operativos Regulares frecuentes"
"Imbabura - Antonio Ante - Imbaya (San Luis de Cobuendo)";1;60;0;1;1;0;0;"Operativos Regulares frecuentes"
"Imbabura - Antonio Ante - San Fco. De Natabuela";5;35;0,8;0,2;0,4;0,2;0,4;"Operativos Regulares frecuentes"
"Imbabura - Antonio Ante - San Jose de Chaltura";1;27;1;0;1;0;0;"Operativos Regulares frecuentes"
"Imbabura - Antonio Ante - San Roque";8;58;0,88;0,12;0,5;0,38;0,12;"Operativos Regulares frecuentes"
"Imbabura - Cotacahi - Sagrario";2;59;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Imbabura - Cotacachi - San Francisco";2;34;1;0;0;0;1;"Operativos Regulares frecuentes"
"Imbabura - Cotacachi - Cotacachi Cabecera Cantonal";1;30;1;0;0;0;1;"Operativos Regulares frecuentes"
"Imbabura - Cotacachi - Apuela";2;78;0,5;0,5;0;0;1;"Operativos Regulares frecuentes"
"Imbabura - Cotacahi - Garcia Moreno (Llurimagua)";1;95;1;0;0;1;0;"Operativo de Transito Constante"
"Imbabura - Cotacachi - Imantag";3;34;0,67;0,33;1;0;0;"Operativos Regulares frecuentes"
"Imbabura - Cotacachi - Penaherrera";1;26;0;1;1;0;0;"Operativos Regulares frecuentes"
"Imbabura - Cotacachi - Quiroga";2;54;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"Imbabura - Otavalo - Jordan";9;43;0,56;0,44;0,44;0,33;0,22;"Operativos Regulares frecuentes"
"Imbabura - Otavalo - San Luis";7;56;0,71;0,29;0,29;0,43;0,29;"Operativos Regulares frecuentes"
"Imbabura - Otavalo - Otavalo";3;70;0,33;0,67;0,33;0,67;0;"Operativos Regulares frecuentes"
"Imbabura - Otavalo - Doctor Miguel Egas Cabezas (Peguche)";5;49;0,8;0,2;0,4;0,4;0,2;"Operativos Regulares frecuentes"
"Imbabura - Otavalo - Eugenio Espejo (Calpaqui)";11;47;0,82;0,18;0,55;0,09;0,36;"Operativos Regulares frecuentes"
"Imbabura - Otavalo - Gonzalez Suarez";21;35;0,57;0,43;0,71;0,19;0,1;"Operativos Regulares frecuentes"
"Imbabura - Otavalo - San Jose De Quichinche";2;74;0,5;0,5;0;1;0;"Operativos Regulares frecuentes"
"Imbabura - Otavalo - San Juan De Iluman";13;42;0,92;0,08;0,31;0,38;0,31;"Operativos Regulares frecuentes"
"Imbabura - Otavalo - San Pablo";4;38;0,75;0,25;0;0,25;0,75;"Operativos Regulares frecuentes"
"Imbabura - Otavalo - San Rafael";6;50;1;0;0,33;0,33;0,33;"Operativos Regulares frecuentes"
"Imbabura - Otavalo - Selva Alegre(Cab. En San Miguel de Pamplona)";1;32;1;0;1;0;0;"Operativos Regulares frecuentes"
"Imbabura - Pimampiro - Pimampiro";6;43;1;0;0;0,33;0,67;"Operativos Regulares frecuentes"
"Imbabura - Pimampiro - Mariano Acosta";1;42;0;1;0;1;0;"Operativos Regulares frecuentes"
"Imbabura - San Miguel De Urcuqui - Urcuqui";2;47;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Imbabura - San Miguel De Urcuqui - San Blas";2;26;1;0;0;1;0;"Operativos Regulares frecuentes"
"Imbabura - San Miguel De Urcuqui - Tumbabiro";1;24;1;0;0;1;0;"Operativos Regulares frecuentes"
"Imbabura - Cotacahi - Imantag";1;43;1;0;0;1;0;"Operativos Regulares frecuentes"
"Loja - Loja - El Sagrario";5;57;0,8;0,2;0,2;0,8;0;"Operativos Regulares frecuentes"
"Loja - Loja - San Sebastian";3;44;1;0;0;0,33;0,67;"Operativos Regulares frecuentes"
"Loja - Loja - Sucre";48;53;0,06;0,08;0;0,15;0;"Operativo de Transito Constante"
"Loja - Loja - Valle";25;51;0,8;0,2;0,36;0,32;0,32;"Operativos Regulares frecuentes"
"Loja - Loja - Carigan";3;62;0,67;0,33;0;0;1;"Operativos Regulares frecuentes"
"Loja - Loja - Loja Cabecera Cantonal y Capital Provincial";9;44;0,89;0,11;0,22;0;0,78;"Operativos Regulares frecuentes"
"Loja - Loja - Chuquiribamba";2;14;0,5;0,5;0;0,5;0,5;"Operativos Regulares frecuentes"
"Loja - Loja - Gualel";1;34;1;0;1;0;0;"Operativos Regulares frecuentes"
"Loja - Loja - Malacatos (Valladolid)";3;53;1;0;0,67;0,33;0;"Operativos Regulares frecuentes"
"Loja - Loja - San Lucas";6;26;1;0;0,33;0;0,67;"Operativos Regulares frecuentes"
"Loja - Loja - Taquil (Miguel Riofrio)";4;52;1;0;0,75;0;0,25;"Operativos Regulares frecuentes"
"Loja - Loja - Vilcabamba (Victoria)";1;33;1;0;0;1;0;"Operativos Regulares frecuentes"
"Loja - Loja - Yangana (Arsenio Castillo)";1;16;1;0;0;1;0;"Operativos Regulares frecuentes"
"Loja - Calvas - Cariamanga";1;84;1;0;1;0;0;"Operativos Regulares frecuentes"
"Loja - Calvas - Chile";2;66;0,5;0,5;0,5;0;0,5;"Operativos Regulares frecuentes"
"Loja - Calvas - Cariamanga Cabecera Cantonal";2;14;0,5;0,5;0;0;1;"Operativos Regulares frecuentes"
"Loja - Calvas - Colaisaca";2;14;1;0;0;0;1;"Operativos Regulares frecuentes"
"Loja - Catamayo - Catamayo";2;34;1;0;0,5;0,5;0;"Operativos Regulares frecuentes"
"Loja - Catamayo - San Jose";1;30;1;0;0;0;1;"Operativos Regulares frecuentes"
"Loja - Catamayo - Catamayo (La Toma)";4;13;0,75;0,25;0;0,5;0,5;"Operativos Regulares frecuentes"
"Loja - Catamayo - El Tambo";1;20;1;0;0;0;1;"Operativos Regulares frecuentes"
"Loja - Catamayo - San Pedro de la Bendita";2;14;0,5;0,5;1;0;0;"Operativos Regulares frecuentes"
"Loja - Celica - Celica";3;55;1;0;0,67;0,33;0;"Operativos Regulares frecuentes"
"Loja - Celica - Cruzpamba (Cab En Carlos Bustamante)";1;15;1;0;0;1;0;"Operativos Regulares frecuentes"
"Loja - Chaguarpamba - Chaguarpamba";4;48;0,5;0,5;0,5;0;0,5;"Operativos Regulares frecuentes"
"Loja - Espindola - Amaluza";2;45;1;0;0;1;0;"Operativos Regulares frecuentes"
"Loja - Espindola - Jimbura";1;40;1;0;1;0;0;"Operativos Regulares frecuentes"
"Loja - Espindola - Santa Teresita";2;82;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"Loja - Gonzanama - Gonzanama";3;33;0,67;0,33;0,33;0,33;0,33;"Operativos Regulares frecuentes"
"Loja - Gonzanama - Nambacola";5;52;0,8;0,2;0,4;0,6;0;"Operativos Regulares frecuentes"
"Loja - Macara - Sabiango (La Capilla)";1;29;1;0;0;1;0;"Operativos Regulares frecuentes"
"Loja - Paltas - Catacocha";2;52;1;0;0;1;0;"Operativos Regulares frecuentes"
"Loja - Paltas - Lourdes";1;42;1;0;0;0;1;"Operativos Regulares frecuentes"
"Loja - Paltas - Catacocha";4;58;1;0;0,25;0;0,75;"Operativos Regulares frecuentes"
"Loja - Paltas - Orianga";1;23;1;0;1;0;0;"Operativos Regulares frecuentes"
"Loja - Puyango - Alamor";4;40;0,75;0,25;0,25;0,5;0,25;"Operativos Regulares frecuentes"
"Loja - Puyango - El Arenal";1;43;1;0;1;0;0;"Operativos Regulares frecuentes"
"Loja - Puyango - Vicentino";1;30;1;0;0;0;1;"Operativos Regulares frecuentes"
"Loja - Saraguro - El Tablon";2;18;1;0;0;1;0;"Operativos Regulares frecuentes"
"Loja - Saraguro - San Pablo De Tenta";1;18;1;0;0;1;0;"Operativos Regulares frecuentes"
"Loja - Saraguro - Urdaneta (Paquishapa)";2;40;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"Loja - Sozoranga - Sozoranga";1;23;1;0;0;1;0;"Operativos Regulares frecuentes"
"Loja - Sozoranga - Tacamoros";1;26;1;0;0;1;0;"Operativos Regulares frecuentes"
"Loja - Zapotillo - Zapotillo";12;32;0,75;0,25;0,17;0,17;0,67;"Operativos Regulares frecuentes"
"Loja - Zapotillo - Paletillas";1;37;1;0;0;1;0;"Operativos Regulares frecuentes"
"Loja - Olemdo - Olmedo";1;11;0;1;0;1;0;"Operativos Regulares frecuentes"
"Loja - Olemdo - La Tingue";1;31;0;1;0;1;0;"Operativos Regulares frecuentes"
